mehtod;bradley78;
name;kb_abac;
M;type1<60m;Others
0.20;;2.45
0.30;2.20;1.95
0.45;1.50;1.30
0.60;0.92;0.80
0.75;0.48;0.38
0.90;0.12;0.06
1.00;0.00;0.00
1.00;0.00;0.00
